Industry,GAds-Cost Per Click,GAds-Cost Per Lead,GAds-Click Through Rate,GAds-Conversion Rate,GAds-Average ROAS,Meta-Cost Per Click,Meta-Cost Per Lead,Meta-Click Through Rate,Meta-Conversion Rate,Meta-Average ROAS,GAds-Cost Per Click_Q1,GAds-Cost Per Click_Q2,GAds-Cost Per Click_Q3,GAds-Cost Per Click_Q4,GAds-Cost Per Lead_Q1,GAds-Cost Per Lead_Q2,GAds-Cost Per Lead_Q3,GAds-Cost Per Lead_Q4,GAds-Click Through Rate_Q1,GAds-Click Through Rate_Q2,GAds-Click Through Rate_Q3,GAds-Click Through Rate_Q4,GAds-Conversion Rate_Q1,GAds-Conversion Rate_Q2,GAds-Conversion Rate_Q3,GAds-Conversion Rate_Q4,GAds-Average ROAS_Q1,GAds-Average ROAS_Q2,GAds-Average ROAS_Q3,GAds-Average ROAS_Q4,Meta-Cost Per Click_Q1,Meta-Cost Per Click_Q2,Meta-Cost Per Click_Q3,Meta-Cost Per Click_Q4,Meta-Cost Per Lead_Q1,Meta-Cost Per Lead_Q2,Meta-Cost Per Lead_Q3,Meta-Cost Per Lead_Q4,Meta-Click Through Rate_Q1,Meta-Click Through Rate_Q2,Meta-Click Through Rate_Q3,Meta-Click Through Rate_Q4,Meta-Conversion Rate_Q1,Meta-Conversion Rate_Q2,Meta-Conversion Rate_Q3,Meta-Conversion Rate_Q4,Meta-Average ROAS_Q1,Meta-Average ROAS_Q2,Meta-Average ROAS_Q3,Meta-Average ROAS_Q4
Animals & Pets,3.13,23.57,0.0812,0.1341,2.0,0.7,21.47,0.0159,0.0326,1.5,2.053930706193493,3.13,4.206069293806507,inf,15.46682004631969,23.57,31.67317995368031,inf,0.05700166483733818,0.07279697790764032,0.10380366844865463,inf,0.11233603945583048,0.1559479031302125,0.24155934716109673,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.4593455253467875,0.7,0.9406544746532124,inf,14.088783470279324,21.47,28.851216529720674,inf,0.011161656045734939,0.014254580649402479,0.020326087787359715,inf,0.027309134125727615,0.03791127249847075,0.058723599682712554,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Apparel,2.72,72.24,0.0646,0.0157,2.0,0.45,10.98,0.0124,0.0411,1.5,1.784885469918946,2.72,3.6551145300810544,inf,47.404458215788466,72.24,97.07554178421152,inf,0.0453486151292124,0.057914837103861645,0.08258272145053067,inf,0.013151944962390295,0.018257882767668425,0.028280997393208194,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.29529355200864915,0.45,0.6047064479913509,inf,7.205162669011038,10.98,14.754837330988963,inf,0.008704687733780707,0.011116779877521429,0.015851791733538394,inf,0.03442961388243573,0.04779611348733582,0.07403496769814374,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Automotive — For Sale,2.08,42.52,0.0877,0.0572,2.0,2.24,43.84,0.008,0.0511,1.5,1.3649124181733114,2.08,2.7950875818266887,inf,27.90195962535058,42.52,57.13804037464942,inf,0.061564605988110324,0.07862432219827656,0.11211307540575137,inf,0.04791664024514171,0.06651916524271555,0.103036500056784,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.4699056811097202,2.24,3.01009431889028,inf,28.76815404457595,43.84,58.911845955424056,inf,0.005615927570181102,0.007172116050013826,0.010226962408734448,inf,0.04280664889032765,0.05942533818011826,0.09204834183394514,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
"Automotive — Repair, Service & Parts",3.06,21.12,0.0591,0.1261,2.0,2.24,43.84,0.008,0.0511,1.5,2.007996153658814,3.06,4.112003846341186,inf,13.859110707605932,21.12,28.38088929239407,inf,0.04148766492471289,0.05298400731947714,0.07555168479452573,inf,0.10563441144951694,0.14664452337598655,0.22714864785245562,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.4699056811097202,2.24,3.01009431889028,inf,28.76815404457595,43.84,58.911845955424056,inf,0.005615927570181102,0.007172116050013826,0.010226962408734448,inf,0.04280664889032765,0.05942533818011826,0.09204834183394514,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Beauty,2.89,36.97,0.0687,0.0816,2.0,1.81,25.49,0.0116,0.071,1.5,1.8964408117888798,2.89,3.8835591882111204,inf,24.260005817243908,36.97,49.67999418275609,inf,0.04822677800893021,0.06159054657949373,0.08782403968500707,inf,0.06835660566439797,0.0948944734931047,0.14698913294813942,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.187736286968122,1.81,2.432263713031878,inf,16.72673920155659,25.49,34.25326079844341,inf,0.008143094976762596,0.010399568272520046,0.014829095492664948,inf,0.05947694855603254,0.0825674953187553,0.1278949563641899,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Business Services,5.47,97.36,0.0511,0.0494,2.0,3.08,31.11,0.0062,0.0996,1.5,3.5894571766384678,5.47,7.350542823361532,inf,63.88840049680462,97.36,130.83159950319538,inf,0.03587173735453179,0.045811891269463306,0.06532472238579129,inf,0.041382552938986024,0.057448369982345246,0.0889860682308589,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,2.0211203115258654,3.08,4.138879688474135,inf,20.414627562197943,31.11,41.805372437802056,inf,0.004352343866890354,0.0055583899387607145,0.007925895866769197,inf,0.0834352686786034,0.11582707794011309,0.1794132063925819,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Career & Employment,3.78,132.95,0.0667,0.0311,2.0,2.72,23.24,0.0047,0.1173,1.5,2.4804658368726527,3.78,5.079534163127347,inf,87.24283942122199,132.95,178.657160578778,inf,0.04682279611638493,0.05979751756699027,0.08526729908282345,inf,0.026052578874543833,0.03616688879455338,0.05602159356234235,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,1.784885469918946,2.72,3.6551145300810544,inf,15.250271441513345,23.24,31.229728558486652,inf,0.0032993574474813976,0.004213618179383123,0.006008340415131488,inf,0.09826262064257207,0.136410805646338,0.2112968786129504,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Dental,6.69,65.37,0.0534,0.104,2.0,1.32,12.31,0.0083,0.11,1.5,4.390030806528584,6.69,8.989969193471417,inf,42.89630998845643,65.37,87.84369001154357,inf,0.03748631653095885,0.04787387463384229,0.06826497407830244,inf,0.08712116408207583,0.12094393680493734,0.1873390910123345,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.8661944192253708,1.32,1.7738055807746294,inf,8.077919167169934,12.31,16.542080832830067,inf,0.005826524854062893,0.007441070401889344,0.010610473499061988,inf,0.09214738508681097,0.12792147162060682,0.19814711549381536,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
eCommerce,2.44,31.5,0.0639,0.0369,2.0,0.7,21.47,0.0159,0.0326,1.5,1.6011472597802308,2.44,3.278852740219769,inf,20.67054864060544,31.5,42.32945135939456,inf,0.04485722146682155,0.05728727694948543,0.0816878622397664,inf,0.030911259179121138,0.0429118391163672,0.06646935056110717,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.4593455253467875,0.7,0.9406544746532124,inf,14.088783470279324,21.47,28.851216529720674,inf,0.011161656045734939,0.014254580649402479,0.020326087787359715,inf,0.027309134125727615,0.03791127249847075,0.058723599682712554,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
Education,4.1,62.8,0.0641,0.0707,2.0,1.06,7.85,0.0073,0.1358,1.5,2.6904523627454697,4.1,5.50954763725453,inf,41.20985570254037,62.8,84.39014429745963,inf,0.04499761965607608,0.05746657985073578,0.08194353629998477,inf,0.059225637505795785,0.08221861857797183,0.12735455514011587,inf,1.499660865494325,1.9808498105027779,2.925438666907689,inf,0.6955803669537068,1.06,1.4244196330462933,inf,5.151231962817546,7.85,10.548768037182453,inf,0.005124533907790255,0.006544555895637616,0.009332103197970183,inf,0.11376013540717211,0.15792487132798552,0.24462162076418298,inf,1.1247456491207437,1.4856373578770832,2.1940790001807664,inf
